0
Judging O
from O
previous O
posts O
this O
used O
to O
be O
a O
good B-OP
place B-ASP
, O
but O
not B-OP
any O
longer O
. O

0
We O
, O
there O
were O
four O
of O
us O
, O
arrived O
at O
noon O
- O
the O
place O
was O
empty O
- O
and O
the O
staff B-ASP
acted O
like O
we O
were O
imposing O
on O
them O
and O
they O
were O
very O
rude B-OP
. O

0
They O
never O
brought O
us O
complimentary O
noodles O
, O
ignored O
repeated O
requests O
for O
sugar O
, O
and O
threw O
our O
dishes O
on O
the O
table O
. O

0
The O
food B-ASP
was O
lousy B-OP
- O
too O
sweet O
or O
too O
salty O
and O
the O
portions B-ASP
tiny B-OP
. O

0
After O
all O
that O
, O
they O
complained O
to O
me O
about O
the O
small O
tip O
. O

0
Avoid B-OP
this O
place B-ASP
! O

0
I O
have O
eaten O
at O
Saul O
, O
many O
times O
, O
the O
food B-ASP
is O
always O
consistently O
, O
outrageously B-OP
good O
. O

0
Saul B-ASP
is O
the O
best B-OP
restaurant O
on O
Smith O
Street O
and O
in O
Brooklyn O
. O

0
The O
duck B-ASP
confit I-ASP
is O
always O
amazing B-OP
and O
the O
foie B-ASP
gras I-ASP
terrine I-ASP
with I-ASP
figs I-ASP
was B-OP
out O
of O
this O
world O
. O

0
The O
wine B-ASP
list I-ASP
is O
interesting B-OP
and O
has O
many O
good B-OP
values O
. O

0
For O
the O
price O
, O
you O
can O
not O
eat O
this O
well O
in O
Manhattan O
. O

0
I O
was O
very O
disappointed B-OP
with O
this O
restaurant B-ASP
. O

0
Ive O
asked O
a O
cart B-ASP
attendant I-ASP
for O
a O
lotus O
leaf O
wrapped O
rice O
and O
she O
replied O
back O
rice O
and O
just O
walked O
away O
. O

0
I O
had O
to O
ask O
her O
three O
times O
before O
she O
finally O
came O
back O
with O
the O
dish O
Ive O
requested O
. O

0
Food B-ASP
was O
okay B-OP
, O
nothing B-OP
great O
. O

0
Chow B-ASP
fun I-ASP
was O
dry B-OP
; O
pork B-ASP
shu I-ASP
mai I-ASP
was O
more O
than O
usually O
greasy B-OP
and O
had O
to O
share O
a O
table O
with O
loud O
and O
rude O
family O
. O

0
I/we O
will O
never B-OP
go O
back O
to O
this O
place B-ASP
again O
. O

0
Went O
on O
a O
3 O
day O
oyster O
binge O
, O
with O
Fish B-ASP
bringing O
up O
the O
closing O
, O
and O
I O
am O
so O
glad B-OP
this O
was O
the O
place O
it O
O O
trip O
ended O
, O
because O
it O
was O
so O
great B-OP
! O

0
Service B-ASP
was O
devine B-OP
, O
oysters B-ASP
where O
a O
sensual B-OP
as O
they O
come O
, O
and O
the O
price O
ca O
n't O
be O
beat O
! O
! O
! O

0
You O
ca O
n't O
go O
wrong O
here O
. O

0
Every O
time O
in O
New O
York O
I O
make O
it O
a O
point O
to O
visit O
Restaurant B-ASP
Saul I-ASP
on O
Smith O
Street O
. O

0
Everything O
is O
always O
cooked O
to O
perfection O
, O
the O
service B-ASP
is O
excellent B-OP
, O
the O
decor B-ASP
cool B-OP
and O
understated B-OP
. O

0
I O
had O
the O
duck B-ASP
breast I-ASP
special I-ASP
on O
my O
last O
visit O
and O
it O
was O
incredible B-OP
. O

0
Ca O
n't O
wait O
wait O
for O
my O
next O
visit O
. O

0
I O
had O
my O
eyes O
on O
this O
place O
, O
promising O
myself O
I O
will O
one O
day O
'give O
it O
a O
try O
. O
' O

0
And O
I O
hate O
to O
say O
this O
but O
I O
doubt O
I O
'll O
ever O
go O
back O
. O

0
The O
food B-ASP
is O
very O
average B-OP
... O
the O
Thai B-ASP
fusion I-ASP
stuff I-ASP
is O
a O
bit O
too B-OP
sweet O
, O
every O
thing O
they O
serve O
is O
too O
sweet O
here O
. O

0
The O
only O
thing O
I O
moderately O
enjoyed B-OP
was O
their O
Grilled B-ASP
Chicken I-ASP
special I-ASP
with I-ASP
Edamame I-ASP
Puree I-ASP
. O

0
I O
had O
never O
had O
Edamame B-ASP
pureed I-ASP
before O
but O
I O
thought O
it O
was O
innovative B-OP
and O
tasty B-OP
( O
could O
've O
used O
a O
bit O
more O
salt O
) O
. O

0
Anyways O
, O
if O
you O
're O
in O
the O
neighborhood O
to O
eat O
good O
food O
, O
I O
would O
n't O
waste O
my O
time O
trying O
to O
find O
something O
, O
rather O
go O
across O
the O
street O
to O
Tamari O
. O

0
The O
decor B-ASP
is O
night B-OP
tho O
... O
but O
they O
REALLY O
need O
to O
clean O
that O
vent B-ASP
in O
the O
ceiling O
... O
its O
quite O
un-appetizing B-OP
, O
and O
kills O
your O
effort O
to O
make O
this O
place B-ASP
look O
sleek B-OP
and O
modern B-OP
. O

0
We O
ate O
outside O
at O
Haru O
's O
Sake O
bar O
because O
Haru O
's O
restaurant O
next O
door O
was O
overflowing O
. O

0
What O
's O
the O
difference O
between O
the O
two O
? O

0
Their O
sake B-ASP
list I-ASP
was O
extensive B-OP
, O
but O
we O
were O
looking O
for O
Purple O
Haze O
, O
which O
was O
n't O
listed O
but O
made O
for O
us O
upon O
request O
! O

0
The O
spicy B-ASP
tuna I-ASP
roll I-ASP
was O
unusually O
good B-OP
and O
the O
rock B-ASP
shrimp I-ASP
tempura I-ASP
was O
awesome B-OP
, O
great B-OP
appetizer O
to O
share O
! O

0
We O
went O
around O
9:30 O
on O
a O
Friday O
and O
it O
had O
died O
down O
a O
bit O
by O
then O
so O
the O
service B-ASP
was O
great B-OP
! O

0
we O
love B-OP
th O
pink B-ASP
pony I-ASP
. O

0
THe O
perfect B-OP
spot B-ASP
. O

0
Food B-ASP
- O
awesome B-OP
. O

0
Service B-ASP
- O
friendly B-OP
and O
attentive B-OP
. O

0
Ambiance B-ASP
- O
relaxed B-OP
and O
stylish B-OP
. O

0
Do O
n't O
judge O
this O
place B-ASP
prima O
facie O
, O
you O
have O
to O
try O
it O
to O
believe O
it O
, O
a O
home O
away O
from O
home O
for O
the O
literate O
heart O
. O

0
i O
